obsid,label,pred,error,teff,logg,feh,snru,snrg,snrr,rv,z
76911115.0,3.3,2.73,-0.5699999999999998,4286.16,2.154,-0.26899999999999996,0.15,14.05,52.48,8.56,2.8600000000000004e-05
174806195.0,1.9,2.47,0.5700000000000003,5538.87,4.302,-0.034,9.52,44.01,59.68,-12.98,-4.33e-05
537312164.0,2.5,3.07,0.5699999999999998,4983.73,3.867,0.18100000000000002,1.87,23.11,47.93,8.84,2.95e-05
96616174.0,0.2,0.77,0.5700000000000001,6759.58,4.039,-0.6659999999999999,11.1,33.07,46.88,5.32,1.77e-05
425208144.0,3.1,2.53,-0.5700000000000003,5080.3,3.7439999999999998,-0.009000000000000001,9.35,73.99,130.67,10.5,3.5e-05
176307242.0,2.5,3.07,0.5699999999999998,5100.16,4.309,0.465,2.4,31.96,57.16,12.76,4.26e-05
507606227.0,3.5,2.93,-0.5699999999999998,6297.11,4.12,-0.064,2.24,12.02,28.49,6.88,2.2899999999999998e-05
160716243.0,2.2,1.63,-0.5700000000000003,6024.92,4.191,-0.45,1.84,13.04,22.24,10.13,3.3799999999999995e-05
111602192.0,1.2,1.76,0.56,6148.4,4.281000000000001,-0.022000000000000002,36.04,114.58,161.11,13.0,4.34e-05
187503248.0,3.4,2.84,-0.56,4266.93,2.448,0.076,33.94,204.46,347.31,13.78,4.6e-05
40208198.0,1.9,2.46,0.56,5581.17,4.199,-0.027999999999999997,1.25,8.69,13.72,-5.76,-1.92e-05
308911038.0,2.2,1.64,-0.5600000000000003,5817.97,3.741,-0.36200000000000004,3.16,19.14,48.34,5.8,1.93e-05
455709127.0,2.5,3.05,0.5499999999999998,4815.63,3.6519999999999997,0.307,2.73,23.28,51.98,-5.14,-1.7100000000000002e-05
184809187.0,1.9,2.45,0.5500000000000003,5612.39,4.001,0.07400000000000001,0.97,13.08,42.22,-13.96,-4.66e-05
159013191.0,2.2,1.65,-0.5500000000000003,5962.77,4.492,-0.408,2.01,15.75,24.38,-12.54,-4.18e-05
399906058.0,2.5,3.05,0.5499999999999998,4815.67,2.569,-0.327,2.03,37.88,95.69,5.06,1.6899999999999997e-05
37508118.0,1.9,2.45,0.5500000000000003,5450.17,4.446000000000001,0.048,3.39,23.75,32.96,-14.82,-4.94e-05
